"","Province.State","Country.Region","Lat","Long","date","cases","type"
"1","","Afghanistan",33,65,2020-01-22,0,"confirmed"
"2","","Afghanistan",33,65,2020-01-23,0,"confirmed"
"3","","Afghanistan",33,65,2020-01-24,0,"confirmed"
"4","","Afghanistan",33,65,2020-01-25,0,"confirmed"
"5","","Afghanistan",33,65,2020-01-26,0,"confirmed"
"6","","Afghanistan",33,65,2020-01-27,0,"confirmed"
"7","","Afghanistan",33,65,2020-01-28,0,"confirmed"
"8","","Afghanistan",33,65,2020-01-29,0,"confirmed"
"9","","Afghanistan",33,65,2020-01-30,0,"confirmed"
"10","","Afghanistan",33,65,2020-01-31,0,"confirmed"
"11","","Afghanistan",33,65,2020-02-01,0,"confirmed"
"12","","Afghanistan",33,65,2020-02-02,0,"confirmed"
"13","","Afghanistan",33,65,2020-02-03,0,"confirmed"
"14","","Afghanistan",33,65,2020-02-04,0,"confirmed"
"15","","Afghanistan",33,65,2020-02-05,0,"confirmed"
"16","","Afghanistan",33,65,2020-02-06,0,"confirmed"
"17","","Afghanistan",33,65,2020-02-07,0,"confirmed"
"18","","Afghanistan",33,65,2020-02-08,0,"confirmed"
"19","","Afghanistan",33,65,2020-02-09,0,"confirmed"
"20","","Afghanistan",33,65,2020-02-10,0,"confirmed"
"21","","Afghanistan",33,65,2020-02-11,0,"confirmed"
"22","","Afghanistan",33,65,2020-02-12,0,"confirmed"
"23","","Afghanistan",33,65,2020-02-13,0,"confirmed"
"24","","Afghanistan",33,65,2020-02-14,0,"confirmed"
"25","","Afghanistan",33,65,2020-02-15,0,"confirmed"
"26","","Afghanistan",33,65,2020-02-16,0,"confirmed"
"27","","Afghanistan",33,65,2020-02-17,0,"confirmed"
"28","","Afghanistan",33,65,2020-02-18,0,"confirmed"
"29","","Afghanistan",33,65,2020-02-19,0,"confirmed"
"30","","Afghanistan",33,65,2020-02-20,0,"confirmed"
"31","","Afghanistan",33,65,2020-02-21,0,"confirmed"
"32","","Afghanistan",33,65,2020-02-22,0,"confirmed"
"33","","Afghanistan",33,65,2020-02-23,0,"confirmed"
"34","","Afghanistan",33,65,2020-02-24,1,"confirmed"
"35","","Afghanistan",33,65,2020-02-25,0,"confirmed"
"36","","Afghanistan",33,65,2020-02-26,0,"confirmed"
"37","","Afghanistan",33,65,2020-02-27,0,"confirmed"
"38","","Afghanistan",33,65,2020-02-28,0,"confirmed"
"39","","Afghanistan",33,65,2020-02-29,0,"confirmed"
"40","","Afghanistan",33,65,2020-03-01,0,"confirmed"
"41","","Afghanistan",33,65,2020-03-02,0,"confirmed"
"42","","Afghanistan",33,65,2020-03-03,0,"confirmed"
"43","","Afghanistan",33,65,2020-03-04,0,"confirmed"
"44","","Afghanistan",33,65,2020-03-05,0,"confirmed"
"45","","Afghanistan",33,65,2020-03-06,0,"confirmed"
"46","","Afghanistan",33,65,2020-03-07,0,"confirmed"
"47","","Afghanistan",33,65,2020-03-08,3,"confirmed"
"48","","Afghanistan",33,65,2020-03-09,0,"confirmed"
"49","","Afghanistan",33,65,2020-03-10,1,"confirmed"
"50","","Afghanistan",33,65,2020-03-11,2,"confirmed"
"51","","Afghanistan",33,65,2020-03-12,0,"confirmed"
"52","","Afghanistan",33,65,2020-03-13,0,"confirmed"
"53","","Afghanistan",33,65,2020-03-14,4,"confirmed"
"54","","Afghanistan",33,65,2020-03-15,5,"confirmed"
"55","","Afghanistan",33,65,2020-03-16,5,"confirmed"
"56","","Afghanistan",33,65,2020-03-17,1,"confirmed"
"57","","Afghanistan",33,65,2020-03-18,0,"confirmed"
"58","","Afghanistan",33,65,2020-03-19,0,"confirmed"
"59","","Afghanistan",33,65,2020-03-20,2,"confirmed"
"60","","Afghanistan",33,65,2020-03-21,0,"confirmed"
"61","","Afghanistan",33,65,2020-03-22,16,"confirmed"
"62","","Afghanistan",33,65,2020-03-23,0,"confirmed"
"63","","Afghanistan",33,65,2020-03-24,34,"confirmed"
"64","","Afghanistan",33,65,2020-03-25,10,"confirmed"
"65","","Afghanistan",33,65,2020-03-26,10,"confirmed"
"66","","Afghanistan",33,65,2020-03-27,16,"confirmed"
"67","","Afghanistan",33,65,2020-03-28,0,"confirmed"
"68","","Afghanistan",33,65,2020-03-29,10,"confirmed"
"69","","Albania",41.1533,20.1683,2020-01-22,0,"confirmed"
"70","","Albania",41.1533,20.1683,2020-01-23,0,"confirmed"
"71","","Albania",41.1533,20.1683,2020-01-24,0,"confirmed"
"72","","Albania",41.1533,20.1683,2020-01-25,0,"confirmed"
"73","","Albania",41.1533,20.1683,2020-01-26,0,"confirmed"
"74","","Albania",41.1533,20.1683,2020-01-27,0,"confirmed"
"75","","Albania",41.1533,20.1683,2020-01-28,0,"confirmed"
"76","","Albania",41.1533,20.1683,2020-01-29,0,"confirmed"
"77","","Albania",41.1533,20.1683,2020-01-30,0,"confirmed"
"78","","Albania",41.1533,20.1683,2020-01-31,0,"confirmed"
"79","","Albania",41.1533,20.1683,2020-02-01,0,"confirmed"
"80","","Albania",41.1533,20.1683,2020-02-02,0,"confirmed"
"81","","Albania",41.1533,20.1683,2020-02-03,0,"confirmed"
"82","","Albania",41.1533,20.1683,2020-02-04,0,"confirmed"
"83","","Albania",41.1533,20.1683,2020-02-05,0,"confirmed"
"84","","Albania",41.1533,20.1683,2020-02-06,0,"confirmed"
"85","","Albania",41.1533,20.1683,2020-02-07,0,"confirmed"
"86","","Albania",41.1533,20.1683,2020-02-08,0,"confirmed"
"87","","Albania",41.1533,20.1683,2020-02-09,0,"confirmed"
"88","","Albania",41.1533,20.1683,2020-02-10,0,"confirmed"
"89","","Albania",41.1533,20.1683,2020-02-11,0,"confirmed"
"90","","Albania",41.1533,20.1683,2020-02-12,0,"confirmed"
"91","","Albania",41.1533,20.1683,2020-02-13,0,"confirmed"
"92","","Albania",41.1533,20.1683,2020-02-14,0,"confirmed"
"93","","Albania",41.1533,20.1683,2020-02-15,0,"confirmed"
"94","","Albania",41.1533,20.1683,2020-02-16,0,"confirmed"
"95","","Albania",41.1533,20.1683,2020-02-17,0,"confirmed"
"96","","Albania",41.1533,20.1683,2020-02-18,0,"confirmed"
"97","","Albania",41.1533,20.1683,2020-02-19,0,"confirmed"
"98","","Albania",41.1533,20.1683,2020-02-20,0,"confirmed"
"99","","Albania",41.1533,20.1683,2020-02-21,0,"confirmed"
"100","","Albania",41.1533,20.1683,2020-02-22,0,"confirmed"
"101","","Albania",41.1533,20.1683,2020-02-23,0,"confirmed"
"102","","Albania",41.1533,20.1683,2020-02-24,0,"confirmed"
"103","","Albania",41.1533,20.1683,2020-02-25,0,"confirmed"
"104","","Albania",41.1533,20.1683,2020-02-26,0,"confirmed"
"105","","Albania",41.1533,20.1683,2020-02-27,0,"confirmed"
"106","","Albania",41.1533,20.1683,2020-02-28,0,"confirmed"
"107","","Albania",41.1533,20.1683,2020-02-29,0,"confirmed"
"108","","Albania",41.1533,20.1683,2020-03-01,0,"confirmed"
"109","","Albania",41.1533,20.1683,2020-03-02,0,"confirmed"
"110","","Albania",41.1533,20.1683,2020-03-03,0,"confirmed"
"111","","Albania",41.1533,20.1683,2020-03-04,0,"confirmed"
"112","","Albania",41.1533,20.1683,2020-03-05,0,"confirmed"
"113","","Albania",41.1533,20.1683,2020-03-06,0,"confirmed"
"114","","Albania",41.1533,20.1683,2020-03-07,0,"confirmed"
"115","","Albania",41.1533,20.1683,2020-03-08,0,"confirmed"
"116","","Albania",41.1533,20.1683,2020-03-09,2,"confirmed"
"117","","Albania",41.1533,20.1683,2020-03-10,8,"confirmed"
"118","","Albania",41.1533,20.1683,2020-03-11,2,"confirmed"
"119","","Albania",41.1533,20.1683,2020-03-12,11,"confirmed"
"120","","Albania",41.1533,20.1683,2020-03-13,10,"confirmed"
"121","","Albania",41.1533,20.1683,2020-03-14,5,"confirmed"
"122","","Albania",41.1533,20.1683,2020-03-15,4,"confirmed"
"123","","Albania",41.1533,20.1683,2020-03-16,9,"confirmed"
"124","","Albania",41.1533,20.1683,2020-03-17,4,"confirmed"
"125","","Albania",41.1533,20.1683,2020-03-18,4,"confirmed"
"126","","Albania",41.1533,20.1683,2020-03-19,5,"confirmed"
"127","","Albania",41.1533,20.1683,2020-03-20,6,"confirmed"
"128","","Albania",41.1533,20.1683,2020-03-21,6,"confirmed"
"129","","Albania",41.1533,20.1683,2020-03-22,13,"confirmed"
"130","","Albania",41.1533,20.1683,2020-03-23,15,"confirmed"
"131","","Albania",41.1533,20.1683,2020-03-24,19,"confirmed"
"132","","Albania",41.1533,20.1683,2020-03-25,23,"confirmed"
"133","","Albania",41.1533,20.1683,2020-03-26,28,"confirmed"
"134","","Albania",41.1533,20.1683,2020-03-27,12,"confirmed"
"135","","Albania",41.1533,20.1683,2020-03-28,11,"confirmed"
"136","","Albania",41.1533,20.1683,2020-03-29,15,"confirmed"
"137","","Algeria",28.0339,1.6596,2020-01-22,0,"confirmed"
"138","","Algeria",28.0339,1.6596,2020-01-23,0,"confirmed"
"139","","Algeria",28.0339,1.6596,2020-01-24,0,"confirmed"
"140","","Algeria",28.0339,1.6596,2020-01-25,0,"confirmed"
"141","","Algeria",28.0339,1.6596,2020-01-26,0,"confirmed"
"142","","Algeria",28.0339,1.6596,2020-01-27,0,"confirmed"
"143","","Algeria",28.0339,1.6596,2020-01-28,0,"confirmed"
"144","","Algeria",28.0339,1.6596,2020-01-29,0,"confirmed"
"145","","Algeria",28.0339,1.6596,2020-01-30,0,"confirmed"
"146","","Algeria",28.0339,1.6596,2020-01-31,0,"confirmed"
"147","","Algeria",28.0339,1.6596,2020-02-01,0,"confirmed"
"148","","Algeria",28.0339,1.6596,2020-02-02,0,"confirmed"
"149","","Algeria",28.0339,1.6596,2020-02-03,0,"confirmed"
"150","","Algeria",28.0339,1.6596,2020-02-04,0,"confirmed"
"151","","Algeria",28.0339,1.6596,2020-02-05,0,"confirmed"
"152","","Algeria",28.0339,1.6596,2020-02-06,0,"confirmed"
"153","","Algeria",28.0339,1.6596,2020-02-07,0,"confirmed"
"154","","Algeria",28.0339,1.6596,2020-02-08,0,"confirmed"
"155","","Algeria",28.0339,1.6596,2020-02-09,0,"confirmed"
"156","","Algeria",28.0339,1.6596,2020-02-10,0,"confirmed"
"157","","Algeria",28.0339,1.6596,2020-02-11,0,"confirmed"
"158","","Algeria",28.0339,1.6596,2020-02-12,0,"confirmed"
"159","","Algeria",28.0339,1.6596,2020-02-13,0,"confirmed"
"160","","Algeria",28.0339,1.6596,2020-02-14,0,"confirmed"
"161","","Algeria",28.0339,1.6596,2020-02-15,0,"confirmed"
"162","","Algeria",28.0339,1.6596,2020-02-16,0,"confirmed"
"163","","Algeria",28.0339,1.6596,2020-02-17,0,"confirmed"
"164","","Algeria",28.0339,1.6596,2020-02-18,0,"confirmed"
"165","","Algeria",28.0339,1.6596,2020-02-19,0,"confirmed"
"166","","Algeria",28.0339,1.6596,2020-02-20,0,"confirmed"
"167","","Algeria",28.0339,1.6596,2020-02-21,0,"confirmed"
"168","","Algeria",28.0339,1.6596,2020-02-22,0,"confirmed"
"169","","Algeria",28.0339,1.6596,2020-02-23,0,"confirmed"
"170","","Algeria",28.0339,1.6596,2020-02-24,0,"confirmed"
"171","","Algeria",28.0339,1.6596,2020-02-25,1,"confirmed"
"172","","Algeria",28.0339,1.6596,2020-02-26,0,"confirmed"
"173","","Algeria",28.0339,1.6596,2020-02-27,0,"confirmed"
"174","","Algeria",28.0339,1.6596,2020-02-28,0,"confirmed"
"175","","Algeria",28.0339,1.6596,2020-02-29,0,"confirmed"
"176","","Algeria",28.0339,1.6596,2020-03-01,0,"confirmed"
"177","","Algeria",28.0339,1.6596,2020-03-02,2,"confirmed"
"178","","Algeria",28.0339,1.6596,2020-03-03,2,"confirmed"
"179","","Algeria",28.0339,1.6596,2020-03-04,7,"confirmed"
"180","","Algeria",28.0339,1.6596,2020-03-05,0,"confirmed"
"181","","Algeria",28.0339,1.6596,2020-03-06,5,"confirmed"
"182","","Algeria",28.0339,1.6596,2020-03-07,0,"confirmed"
"183","","Algeria",28.0339,1.6596,2020-03-08,2,"confirmed"
"184","","Algeria",28.0339,1.6596,2020-03-09,1,"confirmed"
"185","","Algeria",28.0339,1.6596,2020-03-10,0,"confirmed"
"186","","Algeria",28.0339,1.6596,2020-03-11,0,"confirmed"
"187","","Algeria",28.0339,1.6596,2020-03-12,4,"confirmed"
"188","","Algeria",28.0339,1.6596,2020-03-13,2,"confirmed"
"189","","Algeria",28.0339,1.6596,2020-03-14,11,"confirmed"
"190","","Algeria",28.0339,1.6596,2020-03-15,11,"confirmed"
"191","","Algeria",28.0339,1.6596,2020-03-16,6,"confirmed"
"192","","Algeria",28.0339,1.6596,2020-03-17,6,"confirmed"
"193","","Algeria",28.0339,1.6596,2020-03-18,14,"confirmed"
"194","","Algeria",28.0339,1.6596,2020-03-19,13,"confirmed"
"195","","Algeria",28.0339,1.6596,2020-03-20,3,"confirmed"
